Trace,Policy,Cores,Size,Ways,IPC,Cycles,L1_Miss_Rate,L2_Miss_Rate,LLC_Miss_Rate,LLC_Hit_Rate,LLC_MPKI,LLC_Writes
401.bzip2-38B.champsimtrace.xz,adaptive_hcit,1core,1MB,16way,2.8098549999999998,11000253,0.0661024713272493,0.21843742323928778,0.4747455576380157,0.5252544423619843,2.0011,3926
401.bzip2-38B.champsimtrace.xz,adaptive_hcit,1core,2MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,adaptive_hcit,1core,2MB,8way,2.8158779999999997,10972144,0.06609635954339839,0.21843742323928778,0.4720647196982278,0.5279352803017722,1.9898,3926
401.bzip2-38B.champsimtrace.xz,adaptive_hcit,1core,4MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,adaptive_hcit,1core,8MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,lru,1core,1MB,16way,2.7927299999999997,11079425,0.06612165790612298,0.21843742323928778,0.49336907783919715,0.5066309221608029,2.0796,3926
401.bzip2-38B.champsimtrace.xz,lru,1core,2MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,lru,1core,2MB,8way,2.7961229999999997,11066160,0.06611802439247143,0.21843742323928778,0.49104410334274395,0.508955896657256,2.0698,3926
401.bzip2-38B.champsimtrace.xz,lru,1core,4MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,lru,1core,8MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,mru,1core,1MB,16way,2.75479,11287878,0.06617774367487834,0.218444383511562,0.5766511672044031,0.4233488327955969,2.4307,3926
401.bzip2-38B.champsimtrace.xz,mru,1core,2MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,mru,1core,2MB,8way,2.739379,11354824,0.06620713493539095,0.21844313566438361,0.5928307079142152,0.4071692920857848,2.4989,3926
401.bzip2-38B.champsimtrace.xz,mru,1core,4MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,mru,1core,8MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,random,1core,1MB,16way,2.768497,11197568,0.06615538244289676,0.21637276575326034,0.5287725009574875,0.47122749904251243,2.209,3912
401.bzip2-38B.champsimtrace.xz,random,1core,2MB,16way,2.897292,10642762,0.06601988115818605,0.21637029378330982,0.4458540788969743,0.5541459211030256,1.8626,3912
401.bzip2-38B.champsimtrace.xz,random,1core,2MB,8way,2.761384,11225147,0.0661657641023099,0.22215113588977556,0.5191912108461898,0.4808087891538102,2.2211,3901
401.bzip2-38B.champsimtrace.xz,random,1core,4MB,16way,2.89737,10643106,0.06601721314579242,0.21977984313680687,0.4399669304358096,0.5600330695641904,1.8626,3874
401.bzip2-38B.champsimtrace.xz,random,1core,8MB,16way,2.89518,10651900,0.06602289523257499,0.2165689869874673,0.445363684185357,0.554636315814643,1.8626,3924
403.gcc-16B.champsimtrace.xz,adaptive_hcit,1core,1MB,16way,3.5562700000000005,8555138,0.7445949897944725,0.31584876348655716,0.003346488944258168,0.9966535110557418,0.2063,305807
403.gcc-16B.champsimtrace.xz,adaptive_hcit,1core,2MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,adaptive_hcit,1core,2MB,8way,3.55469,8558870,0.7446365227511537,0.31584876348655716,0.003768247124339178,0.9962317528756608,0.2323,305807
403.gcc-16B.champsimtrace.xz,adaptive_hcit,1core,4MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,adaptive_hcit,1core,8MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,lru,1core,1MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,lru,1core,2MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,lru,1core,2MB,8way,3.5561000000000007,8555500,0.7445961122458978,0.31584876348655716,0.0032264500776197267,0.9967735499223803,0.1989,305807
403.gcc-16B.champsimtrace.xz,lru,1core,4MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,lru,1core,8MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,mru,1core,1MB,16way,3.55556,8556890,0.744609581926968,0.31584876348655716,0.003855843054048311,0.9961441569459517,0.2377,305807
403.gcc-16B.champsimtrace.xz,mru,1core,2MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,mru,1core,2MB,8way,3.5514900000000003,8566951,0.74468591932578,0.31584876348655716,0.0068097724614618466,0.9931902275385381,0.4198,305807
403.gcc-16B.champsimtrace.xz,mru,1core,4MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,mru,1core,8MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,random,1core,1MB,16way,3.5556800000000006,8556503,0.7445972347007073,0.31584876348655716,0.003377309734341011,0.996622690265659,0.2082,305807
403.gcc-16B.champsimtrace.xz,random,1core,2MB,16way,3.5564999999999998,8554548,0.7445961122458978,0.31584876348655716,0.003216717196540934,0.9967832828034591,0.1983,305807
403.gcc-16B.champsimtrace.xz,random,1core,2MB,8way,3.5475899999999996,8576085,0.7448611054561028,0.33853037703391314,0.0037214424674071227,0.9962785575325929,0.246,328065
403.gcc-16B.champsimtrace.xz,random,1core,4MB,16way,3.55496,8558275,0.7446017245537868,0.3158406298674627,0.0032168006865103634,0.9967831993134897,0.1983,305799
403.gcc-16B.champsimtrace.xz,random,1core,8MB,16way,3.5532500000000002,8562220,0.7445815206413237,0.31717454339895806,0.0032031711879355294,0.9967968288120644,0.1983,307110
450.soplex-92B.champsimtrace.xz,adaptive_hcit,1core,1MB,16way,1.028225,30523036,0.21231553778186302,0.5552565223359752,0.6621620364988957,0.3378379635011043,28.4829,122784
450.soplex-92B.champsimtrace.xz,adaptive_hcit,1core,2MB,16way,1.1032540000000002,28368844,0.21167471359597748,0.5552039419259516,0.5642135071795253,0.43578649282047466,24.2675,122773
450.soplex-92B.champsimtrace.xz,adaptive_hcit,1core,2MB,8way,1.028062,30507064,0.21248472320881,0.5552372523165291,0.680668596203694,0.319331403796306,29.2793,122802
450.soplex-92B.champsimtrace.xz,adaptive_hcit,1core,4MB,16way,1.2525199999999999,24926349,0.2102011221463504,0.55525712603339,0.43446279742877403,0.565537202571226,18.6882,122776
450.soplex-92B.champsimtrace.xz,adaptive_hcit,1core,8MB,16way,1.424442,21689314,0.20950835575528068,0.5552591318860554,0.34208850018365855,0.6579114998163414,14.7148,122777
450.soplex-92B.champsimtrace.xz,lru,1core,1MB,16way,1.0219200000000002,30697898,0.2127314068387319,0.5552573208002486,0.6546173535216867,0.34538264647831335,28.1583,122787
450.soplex-92B.champsimtrace.xz,lru,1core,2MB,16way,1.083249,28871740,0.21195868643368462,0.5551983180132616,0.5738349437815619,0.42616505621843814,24.6811,122776
450.soplex-92B.champsimtrace.xz,lru,1core,2MB,8way,1.0212160000000001,30711175,0.2127833015493254,0.5552787963080036,0.6579298513152878,0.34207014868471214,28.3023,122797
450.soplex-92B.champsimtrace.xz,lru,1core,4MB,16way,1.262489,24702709,0.21003367381483382,0.5552611377532128,0.42980622813237396,0.570193771867626,18.4879,122776
450.soplex-92B.champsimtrace.xz,lru,1core,8MB,16way,1.408317,22005149,0.2092952762556842,0.55525712603339,0.35183484638900836,0.6481651536109917,15.134,122776
450.soplex-92B.champsimtrace.xz,mru,1core,1MB,16way,1.038198,30267311,0.2142909981840076,0.5554245006114225,0.9090925991336841,0.09090740086631592,39.1208,122873
450.soplex-92B.champsimtrace.xz,mru,1core,2MB,16way,1.1039430000000001,28414435,0.21216620070277303,0.5551517603624042,0.800212992050002,0.199787007949998,34.4142,122754
450.soplex-92B.champsimtrace.xz,mru,1core,2MB,8way,1.03445,30420694,0.21433900207897894,0.555395400168705,0.9163874158180694,0.08361258418193057,39.4338,122877
450.soplex-92B.champsimtrace.xz,mru,1core,4MB,16way,1.254842,24582865,0.21117174277170242,0.5552617414267085,0.5566422641562071,0.44335773584379295,23.9438,122776
450.soplex-92B.champsimtrace.xz,mru,1core,8MB,16way,1.471498,20815675,0.20968378338811056,0.5552619410587462,0.32846986837027425,0.6715301316297257,14.129,122776
450.soplex-92B.champsimtrace.xz,random,1core,1MB,16way,1.021503,30717060,0.21422975187402588,0.5557121026563635,0.760776007227746,0.239223992772254,32.7562,122980
450.soplex-92B.champsimtrace.xz,random,1core,2MB,16way,1.0813860000000002,28946238,0.21246138524538635,0.5557921735439414,0.6149323053342932,0.3850676946657068,26.4796,122969
450.soplex-92B.champsimtrace.xz,random,1core,2MB,8way,1.02126,30726672,0.2142572731145291,0.5556260002239779,0.7584661863815942,0.24153381361840576,32.6368,122756
450.soplex-92B.champsimtrace.xz,random,1core,4MB,16way,1.1942249999999999,26119881,0.21107051095930185,0.5553203479467098,0.4757876428034945,0.5242123571965055,20.4612,122656
450.soplex-92B.champsimtrace.xz,random,1core,8MB,16way,1.464257,21021847,0.2095381931263576,0.5557837394585359,0.31582297151962685,0.6841770284803731,13.5964,122878
482.sphinx3-1522B.champsimtrace.xz,adaptive_hcit,1core,1MB,16way,2.080367,14743425,0.10081448958129699,0.7931416650368343,0.8942786926663451,0.10572130733365488,11.6808,8983
482.sphinx3-1522B.champsimtrace.xz,adaptive_hcit,1core,2MB,16way,2.160146,14201706,0.10055341559967351,0.7931313236674664,0.8333065374338715,0.16669346256612846,10.8844,8983
482.sphinx3-1522B.champsimtrace.xz,adaptive_hcit,1core,2MB,8way,2.079475,14750374,0.1008504002198265,0.793146835822647,0.8960242541169986,0.10397574588300144,11.7036,8983
482.sphinx3-1522B.champsimtrace.xz,adaptive_hcit,1core,4MB,16way,2.875213,10596918,0.0903113771077299,0.7931520066758808,0.3712763269712212,0.6287236730287789,4.8495,8983
482.sphinx3-1522B.champsimtrace.xz,adaptive_hcit,1core,8MB,16way,2.95552,10297075,0.08836282909136389,0.7931520066758808,0.335783244141268,0.664216755858732,4.3859,8983
482.sphinx3-1522B.champsimtrace.xz,lru,1core,1MB,16way,2.056734,14921569,0.10083196504019963,0.7931364943184411,0.9065588705911175,0.09344112940888245,11.8412,8983
482.sphinx3-1522B.champsimtrace.xz,lru,1core,2MB,16way,2.101935,14593961,0.10077874321300934,0.7931313236674664,0.8843182740378358,0.1156817259621642,11.5507,8983
482.sphinx3-1522B.champsimtrace.xz,lru,1core,2MB,8way,2.055361,14930154,0.10086564975840755,0.7931364943184411,0.9077838259950849,0.09221617400491514,11.8572,8983
482.sphinx3-1522B.champsimtrace.xz,lru,1core,4MB,16way,2.830294,10769967,0.0908602793564077,0.7931520066758808,0.39291210179379404,0.6070878982062059,5.1321,8983
482.sphinx3-1522B.champsimtrace.xz,lru,1core,8MB,16way,2.95552,10297075,0.08836282909136389,0.7931520066758808,0.335783244141268,0.664216755858732,4.3859,8983
482.sphinx3-1522B.champsimtrace.xz,mru,1core,1MB,16way,2.299312,13264891,0.09642531052658157,0.7931416650368343,0.7213685814250825,0.2786314185749175,9.4223,8983
482.sphinx3-1522B.champsimtrace.xz,mru,1core,2MB,16way,2.538586,11989134,0.09480956831727812,0.793146835822647,0.5408484347366729,0.4591515652633271,7.0644,8983
482.sphinx3-1522B.champsimtrace.xz,mru,1core,2MB,8way,2.2748749999999998,13436126,0.09633005945340499,0.7931416650368343,0.742529686028618,0.257470313971382,9.6987,8983
482.sphinx3-1522B.champsimtrace.xz,mru,1core,4MB,16way,2.941884,10344930,0.08882797987068708,0.7931571775965368,0.3411500800048998,0.6588499199951002,4.456,8983
482.sphinx3-1522B.champsimtrace.xz,mru,1core,8MB,16way,2.95552,10297075,0.08836282909136389,0.7931520066758808,0.335783244141268,0.664216755858732,4.3859,8983
482.sphinx3-1522B.champsimtrace.xz,random,1core,1MB,16way,2.0742059999999998,14808094,0.10092572686450647,0.7924598414519662,0.9116804314849148,0.08831956851508511,11.8998,8997
482.sphinx3-1522B.champsimtrace.xz,random,1core,2MB,16way,2.2482670000000002,13633645,0.09916451156735664,0.7921806138680992,0.7232587732074142,0.2767412267925859,9.4352,8972
482.sphinx3-1522B.champsimtrace.xz,random,1core,2MB,8way,2.055218,14937926,0.10105877018450522,0.7926787926201186,0.913320210476329,0.08667978952367093,11.9244,9006
482.sphinx3-1522B.champsimtrace.xz,random,1core,4MB,16way,2.902855,10489079,0.08918993812163205,0.7930958046745118,0.3498001317139663,0.6501998682860337,4.5679,8969
482.sphinx3-1522B.champsimtrace.xz,random,1core,8MB,16way,2.9736399999999996,10235257,0.08836205818345548,0.7919222870554488,0.3363678196180689,0.6636321803819312,4.3859,8947
mix,adaptive_hcit,4core,1MB,16way,15.196597999999998,34145156,0.10090310707959152,0.8090040836064692,0.9121957996619353,0.0878042003380647,11.8185,9136
mix,adaptive_hcit,4core,2MB,16way,15.778367999999997,28896584,0.09901179448168976,0.8092647444034737,0.6763457672548582,0.3236542327451418,8.7812,9370
mix,adaptive_hcit,4core,4MB,16way,16.907146,23293399,0.08853330654917235,0.8091169813348378,0.3143152088501302,0.6856847911498698,4.08,9365
mix,adaptive_hcit,4core,8MB,16way,16.4131,21056033,0.08792267481502059,0.8089989522044008,0.3032607523153499,0.6967392476846501,3.9359,9365
mix,lru,4core,1MB,16way,15.166537999999997,35220258,0.10085847166840717,0.8093037626103193,0.9112614036846529,0.08873859631534707,11.8166,9205
mix,lru,4core,2MB,16way,14.848612,29870941,0.09957885855653592,0.8087207076507688,0.7558612716763006,0.24413872832369943,9.8073,9368
mix,lru,4core,4MB,16way,17.033636,23118747,0.08809009516159128,0.8091518456826607,0.30681292946722954,0.6931870705327705,3.9828,9365
mix,lru,4core,8MB,16way,16.413795999999998,21051570,0.08792267481502059,0.8089989522044008,0.3032607523153499,0.6967392476846501,3.9359,9365
mix,mru,4core,1MB,16way,11.267825,79794580,0.09796610288712804,0.8094121913870457,0.7026332839689005,0.2973667160310996,9.1095,9159
mix,mru,4core,2MB,16way,14.058352000000001,41082756,0.09491174732727195,0.8087638698584133,0.4642045148014273,0.5357954851985727,6.0231,9365
mix,mru,4core,4MB,16way,15.983209,22348079,0.0882127707282529,0.8094489669810053,0.3090263605769601,0.6909736394230399,4.0128,9365
mix,mru,4core,8MB,16way,16.413871,21039285,0.08792267481502059,0.8089989522044008,0.3032607523153499,0.6967392476846501,3.9359,9365
mix,random,4core,1MB,16way,14.649023,37985751,0.10082617345298804,0.8102021626704279,0.8790381664083166,0.12096183359168344,11.3984,9065
mix,random,4core,2MB,16way,15.607694,31007320,0.0972286216130933,0.8097735927624907,0.5674986518758185,0.4325013481241815,7.3667,9268
mix,random,4core,4MB,16way,16.189156999999998,22085599,0.08802083168742357,0.8107331161634819,0.30536762779515786,0.6946323722048421,3.963,9104
mix,random,4core,8MB,16way,16.419736999999998,21018716,0.08791750604001593,0.8109484148307362,0.3030739377512205,0.6969260622487795,3.9359,9160
